name,uri
breeding stock,http://aims.fao.org/aos/agrovoc/c_16206
bycatch excluder devices,http://aims.fao.org/aos/agrovoc/c_fe6a0492
biofilters,http://aims.fao.org/aos/agrovoc/c_c37b7ea9
balance organs,http://aims.fao.org/aos/agrovoc/c_756c730b
crab culture,http://aims.fao.org/aos/agrovoc/c_af70b89d
bioenergetics,http://aims.fao.org/aos/agrovoc/c_07d21ff0
blowouts,http://aims.fao.org/aos/agrovoc/c_c0dedc80
bismuth isotopes,http://aims.fao.org/aos/agrovoc/c_a89679f1
biogeochemical cycle,http://aims.fao.org/aos/agrovoc/c_32983
biology,http://aims.fao.org/aos/agrovoc/c_925
biotelemetry,http://aims.fao.org/aos/agrovoc/c_1b3213f8
biological collections,http://aims.fao.org/aos/agrovoc/c_e6e29100
benthos,http://aims.fao.org/aos/agrovoc/c_878
byssus,http://aims.fao.org/aos/agrovoc/c_3abcedfa
bacterins,http://aims.fao.org/aos/agrovoc/c_29209
biological processes,http://aims.fao.org/aos/agrovoc/c_330999
acoustic transponders,http://aims.fao.org/aos/agrovoc/c_3fab03cb
bait fish,http://aims.fao.org/aos/agrovoc/c_98edcf11
blood disorders,http://aims.fao.org/aos/agrovoc/c_964
basalt,http://aims.fao.org/aos/agrovoc/c_32387
engineering drawings,http://aims.fao.org/aos/agrovoc/c_ace85772
bathymetry,http://aims.fao.org/aos/agrovoc/c_a58519a1
bottom scattering,http://aims.fao.org/aos/agrovoc/c_5ec67640
biodegradability,http://aims.fao.org/aos/agrovoc/c_28259
barrier islands,http://aims.fao.org/aos/agrovoc/c_824d2451
breezes,http://aims.fao.org/aos/agrovoc/c_f705b22d
bioluminescence,http://aims.fao.org/aos/agrovoc/c_efea7686
biotechnology,http://aims.fao.org/aos/agrovoc/c_16165
biological properties,http://aims.fao.org/aos/agrovoc/c_1501
septicaemia,http://aims.fao.org/aos/agrovoc/c_16464
bismuth,http://aims.fao.org/aos/agrovoc/c_938
body cavities,http://aims.fao.org/aos/agrovoc/c_978
boundaries,http://aims.fao.org/aos/agrovoc/c_15686
Bouguer anomalies,http://aims.fao.org/aos/agrovoc/c_3cc594ea
internal tides,http://aims.fao.org/aos/agrovoc/c_69f94cf7
beach erosion,http://aims.fao.org/aos/agrovoc/c_f1a870c8
bathymeters,http://aims.fao.org/aos/agrovoc/c_3542ceb8
baroclinic field,http://aims.fao.org/aos/agrovoc/c_cc2129a2
buoyant jets,http://aims.fao.org/aos/agrovoc/c_1756aae3
beryllium,http://aims.fao.org/aos/agrovoc/c_887
boat seines,http://aims.fao.org/aos/agrovoc/c_838e2977
break-point bars,http://aims.fao.org/aos/agrovoc/c_21ceff14
bacterial filtration,http://aims.fao.org/aos/agrovoc/c_8053ba29
boric acid,http://aims.fao.org/aos/agrovoc/c_1016
bait fisheries,http://aims.fao.org/aos/agrovoc/c_787c0e30
trapped waves,http://aims.fao.org/aos/agrovoc/c_5209706a
submerged cages,http://aims.fao.org/aos/agrovoc/c_baecc406
bones,http://aims.fao.org/aos/agrovoc/c_1001
body waves,http://aims.fao.org/aos/agrovoc/c_2a6357c8
brine shrimp culture,http://aims.fao.org/aos/agrovoc/c_cee1caea
biological competition,http://aims.fao.org/aos/agrovoc/c_917
beam transmittance meters,http://aims.fao.org/aos/agrovoc/c_1216e5d0
barotropic field,http://aims.fao.org/aos/agrovoc/c_525fcbff
Beaufort scale,http://aims.fao.org/aos/agrovoc/c_31857628
foreshore,http://aims.fao.org/aos/agrovoc/c_58237769
biodeterioration,http://aims.fao.org/aos/agrovoc/c_27464
bioaccumulation,http://aims.fao.org/aos/agrovoc/c_32389
bilateral agreements,http://aims.fao.org/aos/agrovoc/c_56b8c0c3
coral bleaching,http://aims.fao.org/aos/agrovoc/c_fcf474bc
ballast water,http://aims.fao.org/aos/agrovoc/c_484f9816
wind-driven currents,http://aims.fao.org/aos/agrovoc/c_8a244c32
توسيخ بيولوجي,http://aims.fao.org/aos/agrovoc/c_6107616b
blue carbon,http://aims.fao.org/aos/agrovoc/c_462d329a
barrier beaches,http://aims.fao.org/aos/agrovoc/c_7beffa51
biochemical oxygen demand,http://aims.fao.org/aos/agrovoc/c_7f1a72ca
boiling point,http://aims.fao.org/aos/agrovoc/c_989
tuna fisheries,http://aims.fao.org/aos/agrovoc/c_40059f89
bearing capacity,http://aims.fao.org/aos/agrovoc/c_43f09960
biochemical composition,http://aims.fao.org/aos/agrovoc/c_325cb76a
bathythermographic data,http://aims.fao.org/aos/agrovoc/c_0fbb35a4
burners,http://aims.fao.org/aos/agrovoc/c_36710
disinfectants,http://aims.fao.org/aos/agrovoc/c_2331
brines,http://aims.fao.org/aos/agrovoc/c_1091
biosorption,http://aims.fao.org/aos/agrovoc/c_35925
behaviour,http://aims.fao.org/aos/agrovoc/c_868
biometry,http://aims.fao.org/aos/agrovoc/c_927
molecular genetics,http://aims.fao.org/aos/agrovoc/c_27577
biochemistry,http://aims.fao.org/aos/agrovoc/c_910
benthic infauna,http://aims.fao.org/aos/agrovoc/c_50867ff3
boundary layers,http://aims.fao.org/aos/agrovoc/c_083bd76b
population pressure,http://aims.fao.org/aos/agrovoc/c_34888
nearshore bars,http://aims.fao.org/aos/agrovoc/c_1f8d33b3
boron isotopes,http://aims.fao.org/aos/agrovoc/c_7d687762
