name,uri
calorimetry,http://aims.fao.org/aos/agrovoc/c_28276
nearshore currents,http://aims.fao.org/aos/agrovoc/c_72f45664
composting,http://aims.fao.org/aos/agrovoc/c_15956
colour,http://aims.fao.org/aos/agrovoc/c_1773
CTD profilers,http://aims.fao.org/aos/agrovoc/c_15de7dc5
cables,http://aims.fao.org/aos/agrovoc/c_a8bcf3c5
niobium,http://aims.fao.org/aos/agrovoc/c_d2e8106a
critically endangered species,http://aims.fao.org/aos/agrovoc/c_3dc7af89
coasts,http://aims.fao.org/aos/agrovoc/c_1700
crab culture,http://aims.fao.org/aos/agrovoc/c_af70b89d
carnivorous animals,http://aims.fao.org/aos/agrovoc/c_9630
cerium compounds,http://aims.fao.org/aos/agrovoc/c_8c8a85f2
cell walls,http://aims.fao.org/aos/agrovoc/c_1415
cotidal charts,http://aims.fao.org/aos/agrovoc/c_a3422c55
clam fisheries,http://aims.fao.org/aos/agrovoc/c_78971284
organic sediments,http://aims.fao.org/aos/agrovoc/c_301a69db
chromosomes,http://aims.fao.org/aos/agrovoc/c_1598
mitochondria,http://aims.fao.org/aos/agrovoc/c_4869
cultch,http://aims.fao.org/aos/agrovoc/c_7082b8d6
peduncle disease,http://aims.fao.org/aos/agrovoc/c_c066e72d
climate change adaptation,http://aims.fao.org/aos/agrovoc/c_1374567058134
documents,http://aims.fao.org/aos/agrovoc/c_4f435f4f
centrifuges,http://aims.fao.org/aos/agrovoc/c_37297
clam culture,http://aims.fao.org/aos/agrovoc/c_2d7e64ea
Coriolis force,http://aims.fao.org/aos/agrovoc/c_53d3b74d
catadromous fishes,http://aims.fao.org/aos/agrovoc/c_481e6c14
contour currents,http://aims.fao.org/aos/agrovoc/c_9df10ee9
climate resilience,http://aims.fao.org/aos/agrovoc/c_8a6031d8
carangid fisheries,http://aims.fao.org/aos/agrovoc/c_b5d494e3
commensals,http://aims.fao.org/aos/agrovoc/c_865362cd
fermented products,http://aims.fao.org/aos/agrovoc/c_15734
caves,http://aims.fao.org/aos/agrovoc/c_1397
citrates,http://aims.fao.org/aos/agrovoc/c_1630
catfish culture,http://aims.fao.org/aos/agrovoc/c_64319f91
clutches,http://aims.fao.org/aos/agrovoc/c_cbac6fee
chlorine compounds,http://aims.fao.org/aos/agrovoc/c_5ef28e5f
calcrete,http://aims.fao.org/aos/agrovoc/c_9ce33e42
carbon isotopes,http://aims.fao.org/aos/agrovoc/c_2a997294
cohesionless sediments,http://aims.fao.org/aos/agrovoc/c_675d78e8
converging plate boundaries,http://aims.fao.org/aos/agrovoc/c_e81f9544
calcium carbonate,http://aims.fao.org/aos/agrovoc/c_1197
compasses,http://aims.fao.org/aos/agrovoc/c_b144277e
cryopreservation,http://aims.fao.org/aos/agrovoc/c_24155
chemicophysical properties,http://aims.fao.org/aos/agrovoc/c_1521
cable ships,http://aims.fao.org/aos/agrovoc/c_cc3d6a1f
chitin,http://aims.fao.org/aos/agrovoc/c_1561
gas condensate fields,http://aims.fao.org/aos/agrovoc/c_7c0253c7
watersheds,http://aims.fao.org/aos/agrovoc/c_8334
skull,http://aims.fao.org/aos/agrovoc/c_7104
comparative analysis,http://aims.fao.org/aos/agrovoc/c_ed80f2b8
case studies,http://aims.fao.org/aos/agrovoc/c_24392
periodicity,http://aims.fao.org/aos/agrovoc/c_5708
cryptic species,http://aims.fao.org/aos/agrovoc/c_8a46bcaa
climate change mitigation,http://aims.fao.org/aos/agrovoc/c_1374571087594
stunning,http://aims.fao.org/aos/agrovoc/c_7475
icebergs,http://aims.fao.org/aos/agrovoc/c_500c2ea6
chemical oxygen demand,http://aims.fao.org/aos/agrovoc/c_15de0183
fungal diseases,http://aims.fao.org/aos/agrovoc/c_11042
chemical defence,http://aims.fao.org/aos/agrovoc/c_e2805193
chemical contamination,http://aims.fao.org/aos/agrovoc/c_28319
cyanides,http://aims.fao.org/aos/agrovoc/c_2053
production costs,http://aims.fao.org/aos/agrovoc/c_6202
cosmic dust,http://aims.fao.org/aos/agrovoc/c_4ffa724b
cystine,http://aims.fao.org/aos/agrovoc/c_2086
cliffs,http://aims.fao.org/aos/agrovoc/c_2f05aa4f
coastal inlets,http://aims.fao.org/aos/agrovoc/c_dd93a7cb
concretions,http://aims.fao.org/aos/agrovoc/c_8881a46c
lobster fisheries,http://aims.fao.org/aos/agrovoc/c_96fbfb70
cytochemistry,http://aims.fao.org/aos/agrovoc/c_37168
crane barges,http://aims.fao.org/aos/agrovoc/c_5dedfd65
clones,http://aims.fao.org/aos/agrovoc/c_1678
cohorts,http://aims.fao.org/aos/agrovoc/c_13accfa8
cruise stations,http://aims.fao.org/aos/agrovoc/c_be5a9d8a
cloud height,http://aims.fao.org/aos/agrovoc/c_1d53d11f
culture media,http://aims.fao.org/aos/agrovoc/c_10204
stems,http://aims.fao.org/aos/agrovoc/c_7390
trapped waves,http://aims.fao.org/aos/agrovoc/c_5209706a
cilia,http://aims.fao.org/aos/agrovoc/c_38d9ff36
carbon dioxide,http://aims.fao.org/aos/agrovoc/c_1302
computer science,http://aims.fao.org/aos/agrovoc/c_27769
chemical reactions,http://aims.fao.org/aos/agrovoc/c_25191
