name,uri
DNA replication,http://aims.fao.org/aos/agrovoc/c_35086
distributaries,http://aims.fao.org/aos/agrovoc/c_ae06a271
dropsondes,http://aims.fao.org/aos/agrovoc/c_386b0942
displacement (ship),http://aims.fao.org/aos/agrovoc/c_d083c0ff
dissolved organic carbon,http://aims.fao.org/aos/agrovoc/c_02b11638
dew point,http://aims.fao.org/aos/agrovoc/c_f3609849
deep-water waves,http://aims.fao.org/aos/agrovoc/c_62bbfab8
documents,http://aims.fao.org/aos/agrovoc/c_4f435f4f
disease prophylaxis,http://aims.fao.org/aos/agrovoc/c_13610
deep-sea mining,http://aims.fao.org/aos/agrovoc/c_2f2dc2a5
rotenone,http://aims.fao.org/aos/agrovoc/c_6665
bathymetry,http://aims.fao.org/aos/agrovoc/c_a58519a1
navigation,http://aims.fao.org/aos/agrovoc/c_15908
density,http://aims.fao.org/aos/agrovoc/c_2186
diarrhetic shellfish poisoning,http://aims.fao.org/aos/agrovoc/c_18b12be6
vectors,http://aims.fao.org/aos/agrovoc/c_8164
dried products,http://aims.fao.org/aos/agrovoc/c_15740
nitrosamines,http://aims.fao.org/aos/agrovoc/c_12837
degradation,http://aims.fao.org/aos/agrovoc/c_2159
scattering layers,http://aims.fao.org/aos/agrovoc/c_c9c02f17
deglaciation,http://aims.fao.org/aos/agrovoc/c_67772422
deltas,http://aims.fao.org/aos/agrovoc/c_2170
density measuring equipment,http://aims.fao.org/aos/agrovoc/c_21e26d86
discards,http://aims.fao.org/aos/agrovoc/c_39a2fc68
desorption,http://aims.fao.org/aos/agrovoc/c_15963
demography,http://aims.fao.org/aos/agrovoc/c_10328
nitrogen-fixing bacteria,http://aims.fao.org/aos/agrovoc/c_27939
dyes,http://aims.fao.org/aos/agrovoc/c_2425
cosmic dust,http://aims.fao.org/aos/agrovoc/c_4ffa724b
deamination,http://aims.fao.org/aos/agrovoc/c_2137
defects,http://aims.fao.org/aos/agrovoc/c_24158
medicinal plants,http://aims.fao.org/aos/agrovoc/c_2393
dispute settlement,http://aims.fao.org/aos/agrovoc/c_487829e6
lobster fisheries,http://aims.fao.org/aos/agrovoc/c_96fbfb70
boat seines,http://aims.fao.org/aos/agrovoc/c_838e2977
daytime,http://aims.fao.org/aos/agrovoc/c_6e563c78
drilling fluids,http://aims.fao.org/aos/agrovoc/c_29e209c6
diploidy,http://aims.fao.org/aos/agrovoc/c_2313
sea state scales,http://aims.fao.org/aos/agrovoc/c_ac848b53
drilling equipment,http://aims.fao.org/aos/agrovoc/c_25343
marginal seas,http://aims.fao.org/aos/agrovoc/c_4d6879a1
dead reckoning,http://aims.fao.org/aos/agrovoc/c_ec0da669
decompression tables,http://aims.fao.org/aos/agrovoc/c_88c935d4
deep-sea fans,http://aims.fao.org/aos/agrovoc/c_fb856911
biodeterioration,http://aims.fao.org/aos/agrovoc/c_27464
DNA barcoding,http://aims.fao.org/aos/agrovoc/c_dd176cb0
detection,http://aims.fao.org/aos/agrovoc/c_a97eb278
drainage,http://aims.fao.org/aos/agrovoc/c_2372
feeding habits,http://aims.fao.org/aos/agrovoc/c_2840
nutritive value,http://aims.fao.org/aos/agrovoc/c_5278
ecosystem disturbance,http://aims.fao.org/aos/agrovoc/c_4549f84e
diagenesis,http://aims.fao.org/aos/agrovoc/c_efe5c443
DNA fingerprinting,http://aims.fao.org/aos/agrovoc/c_34258
wind-driven currents,http://aims.fao.org/aos/agrovoc/c_8a244c32
chemical analysis,http://aims.fao.org/aos/agrovoc/c_f5fd1a6c
species diversity,http://aims.fao.org/aos/agrovoc/c_00ba8c53
