name,uri
eskers,http://aims.fao.org/aos/agrovoc/c_28c391fe
estuarine tides,http://aims.fao.org/aos/agrovoc/c_7070264e
enforcement,http://aims.fao.org/aos/agrovoc/c_48740428
waste disposal,http://aims.fao.org/aos/agrovoc/c_8305
epicentres,http://aims.fao.org/aos/agrovoc/c_1a9e1911
electric fishing,http://aims.fao.org/aos/agrovoc/c_2513
epiphytes,http://aims.fao.org/aos/agrovoc/c_2623
oestrogens,http://aims.fao.org/aos/agrovoc/c_5321
epibionts,http://aims.fao.org/aos/agrovoc/c_89493059
ephemeral water bodies,http://aims.fao.org/aos/agrovoc/c_bc49b472
multiship expeditions,http://aims.fao.org/aos/agrovoc/c_66580aac
erosion control,http://aims.fao.org/aos/agrovoc/c_2652
evisceration,http://aims.fao.org/aos/agrovoc/c_2744
ephemeral lakes,http://aims.fao.org/aos/agrovoc/c_65b481b9
electromagnetic radiation,http://aims.fao.org/aos/agrovoc/c_36146
echosounder profiles,http://aims.fao.org/aos/agrovoc/c_403312f0
aetiology,http://aims.fao.org/aos/agrovoc/c_15588
engineering drawings,http://aims.fao.org/aos/agrovoc/c_ace85772
ecotoxicology,http://aims.fao.org/aos/agrovoc/c_35788
evolution,http://aims.fao.org/aos/agrovoc/c_2745
environmental DNA,http://aims.fao.org/aos/agrovoc/c_4091f5e2
emission,http://aims.fao.org/aos/agrovoc/c_331377
engineers,http://aims.fao.org/aos/agrovoc/c_2573
oogenesis,http://aims.fao.org/aos/agrovoc/c_5360
epizoites,http://aims.fao.org/aos/agrovoc/c_be77a4b0
echinoderm fisheries,http://aims.fao.org/aos/agrovoc/c_d2c6366c
epibiosis,http://aims.fao.org/aos/agrovoc/c_48277bfc
enthalpy,http://aims.fao.org/aos/agrovoc/c_641424d2
moulting,http://aims.fao.org/aos/agrovoc/c_4957
animal oil extraction,http://aims.fao.org/aos/agrovoc/c_40289828
ethylene,http://aims.fao.org/aos/agrovoc/c_2679
ecosystem approaches,http://aims.fao.org/aos/agrovoc/c_331454
explosions,http://aims.fao.org/aos/agrovoc/c_24937
econometrics,http://aims.fao.org/aos/agrovoc/c_2468
ecosystem restoration,http://aims.fao.org/aos/agrovoc/c_e2952bea
concretions,http://aims.fao.org/aos/agrovoc/c_8881a46c
epithelium,http://aims.fao.org/aos/agrovoc/c_2624
exoskeleton,http://aims.fao.org/aos/agrovoc/c_2754
cruise stations,http://aims.fao.org/aos/agrovoc/c_be5a9d8a
seawater evolution,http://aims.fao.org/aos/agrovoc/c_52586368
redmouth disease,http://aims.fao.org/aos/agrovoc/c_7b2ce790
epontic organisms,http://aims.fao.org/aos/agrovoc/c_6ebf216f
electricity,http://aims.fao.org/aos/agrovoc/c_2518
