name,uri
fermentation,http://aims.fao.org/aos/agrovoc/c_2855
flow cytometry,http://aims.fao.org/aos/agrovoc/c_36365
flatfish fisheries,http://aims.fao.org/aos/agrovoc/c_3815ab09
fouling control,http://aims.fao.org/aos/agrovoc/c_dce112dd
fibre rope (natural),http://aims.fao.org/aos/agrovoc/c_00f73a48
fouling organisms,http://aims.fao.org/aos/agrovoc/c_acb2ba6d
finite amplitude waves,http://aims.fao.org/aos/agrovoc/c_43112e2b
fishery protection,http://aims.fao.org/aos/agrovoc/c_0b150f21
crab culture,http://aims.fao.org/aos/agrovoc/c_af70b89d
nursery ponds,http://aims.fao.org/aos/agrovoc/c_4538a918
nursery grounds,http://aims.fao.org/aos/agrovoc/c_25438
foraging,http://aims.fao.org/aos/agrovoc/c_3037
fertilization,http://aims.fao.org/aos/agrovoc/c_2863
fermented products,http://aims.fao.org/aos/agrovoc/c_15734
fats,http://aims.fao.org/aos/agrovoc/c_2816
fisheries development,http://aims.fao.org/aos/agrovoc/c_2935
fishery industry equipment,http://aims.fao.org/aos/agrovoc/c_d3fcf63d
freons,http://aims.fao.org/aos/agrovoc/c_3096
fast ice,http://aims.fao.org/aos/agrovoc/c_60a8be89
agricultural wastes,http://aims.fao.org/aos/agrovoc/c_8683
flag of convenience,http://aims.fao.org/aos/agrovoc/c_5a9feba7
fishery policies,http://aims.fao.org/aos/agrovoc/c_2939
fossil foraminifera,http://aims.fao.org/aos/agrovoc/c_64b2180a
fish culture,http://aims.fao.org/aos/agrovoc/c_2918
feeding migrations,http://aims.fao.org/aos/agrovoc/c_4f188d27
fishery charts,http://aims.fao.org/aos/agrovoc/c_1f26e4ec
aquaculture economics,http://aims.fao.org/aos/agrovoc/c_0e77af7a
fungal diseases,http://aims.fao.org/aos/agrovoc/c_11042
food consumption,http://aims.fao.org/aos/agrovoc/c_3016
foodborne diseases,http://aims.fao.org/aos/agrovoc/c_24842
floating structures,http://aims.fao.org/aos/agrovoc/c_705cfc43
feeding equipment,http://aims.fao.org/aos/agrovoc/c_2839
fishing harbours,http://aims.fao.org/aos/agrovoc/c_4ee61c54
fishery agreements,http://aims.fao.org/aos/agrovoc/c_9fce3db2
feed additives,http://aims.fao.org/aos/agrovoc/c_2827
fishery data,http://aims.fao.org/aos/agrovoc/c_29788
fishery surveys,http://aims.fao.org/aos/agrovoc/c_d7dd6752
flowmeters,http://aims.fao.org/aos/agrovoc/c_3b116cbd
forward scattering,http://aims.fao.org/aos/agrovoc/c_f9674809
fish dressing,http://aims.fao.org/aos/agrovoc/c_e7dc4229
foreshore,http://aims.fao.org/aos/agrovoc/c_58237769
flood currents,http://aims.fao.org/aos/agrovoc/c_9bb4d11b
fishing vessels,http://aims.fao.org/aos/agrovoc/c_2954
farming systems,http://aims.fao.org/aos/agrovoc/c_2807
filletting,http://aims.fao.org/aos/agrovoc/c_a22109d8
fish silage,http://aims.fao.org/aos/agrovoc/c_65ee7506
feeding habits,http://aims.fao.org/aos/agrovoc/c_2840
furans,http://aims.fao.org/aos/agrovoc/c_32036
nutritive value,http://aims.fao.org/aos/agrovoc/c_5278
floating ice,http://aims.fao.org/aos/agrovoc/c_c37670aa
fish poisoning,http://aims.fao.org/aos/agrovoc/c_2928
fish tracking,http://aims.fao.org/aos/agrovoc/c_5731a296
foams,http://aims.fao.org/aos/agrovoc/c_28470
fossil diatoms,http://aims.fao.org/aos/agrovoc/c_1f555a29
fishery engineering,http://aims.fao.org/aos/agrovoc/c_fb52610b
fire hazards,http://aims.fao.org/aos/agrovoc/c_ffaa1eb4
financial institutions,http://aims.fao.org/aos/agrovoc/c_2902
fish products,http://aims.fao.org/aos/agrovoc/c_2930
fishing rights,http://aims.fao.org/aos/agrovoc/c_24028
fucose,http://aims.fao.org/aos/agrovoc/c_3135
fish entanglement,http://aims.fao.org/aos/agrovoc/c_570868be
fish fillets,http://aims.fao.org/aos/agrovoc/c_29019
ferromanganese nodules,http://aims.fao.org/aos/agrovoc/c_013e3c3f
frog culture,http://aims.fao.org/aos/agrovoc/c_3111
fishery technology,http://aims.fao.org/aos/agrovoc/c_84307154
fishing effort,http://aims.fao.org/aos/agrovoc/c_24027
fossil fuels,http://aims.fao.org/aos/agrovoc/c_cb06ade9
feed composition,http://aims.fao.org/aos/agrovoc/c_10770
canopy,http://aims.fao.org/aos/agrovoc/c_1262
flotation,http://aims.fao.org/aos/agrovoc/c_2986
farmed types,http://aims.fao.org/aos/agrovoc/c_4c9c111f
