name,uri
glass,http://aims.fao.org/aos/agrovoc/c_3272
gear materials,http://aims.fao.org/aos/agrovoc/c_785bad70
governance,http://aims.fao.org/aos/agrovoc/c_37882
gelatinous zooplankton,http://aims.fao.org/aos/agrovoc/c_402319cd
geochemical surveys,http://aims.fao.org/aos/agrovoc/c_4ded6022
gas production,http://aims.fao.org/aos/agrovoc/c_4aef72f3
global positioning systems,http://aims.fao.org/aos/agrovoc/c_36733
gene banks,http://aims.fao.org/aos/agrovoc/c_11116
genetic parameters,http://aims.fao.org/aos/agrovoc/c_24847
sorbitol,http://aims.fao.org/aos/agrovoc/c_7240
geomagnetic coast effect,http://aims.fao.org/aos/agrovoc/c_0e785b4e
stomach,http://aims.fao.org/aos/agrovoc/c_7422
gas oil separation,http://aims.fao.org/aos/agrovoc/c_8d5db93a
gases,http://aims.fao.org/aos/agrovoc/c_3197
pack ice,http://aims.fao.org/aos/agrovoc/c_c4548970
glacial sedimentation,http://aims.fao.org/aos/agrovoc/c_7123c50c
genecology,http://aims.fao.org/aos/agrovoc/c_34ef5401
gravitropism,http://aims.fao.org/aos/agrovoc/c_11127
government,http://aims.fao.org/aos/agrovoc/c_11230
gravity corrections,http://aims.fao.org/aos/agrovoc/c_34fc8840
grappling gear,http://aims.fao.org/aos/agrovoc/c_01d4db4f
gas water separation,http://aims.fao.org/aos/agrovoc/c_a8ddf8c3
geomagnetic field,http://aims.fao.org/aos/agrovoc/c_db2b4249
granite,http://aims.fao.org/aos/agrovoc/c_32468
gear selectivity,http://aims.fao.org/aos/agrovoc/c_8c601945
genomics,http://aims.fao.org/aos/agrovoc/c_92382
blowouts,http://aims.fao.org/aos/agrovoc/c_c0dedc80
glaciers,http://aims.fao.org/aos/agrovoc/c_f35be123
gravel,http://aims.fao.org/aos/agrovoc/c_24850
gillnetters,http://aims.fao.org/aos/agrovoc/c_5f96bc95
genets,http://aims.fao.org/aos/agrovoc/c_ad9d76d1
recombination,http://aims.fao.org/aos/agrovoc/c_6475
gravimetry,http://aims.fao.org/aos/agrovoc/c_16372
geomorphology,http://aims.fao.org/aos/agrovoc/c_3233
wave generation,http://aims.fao.org/aos/agrovoc/c_6ee5241f
geotechnical data,http://aims.fao.org/aos/agrovoc/c_1dbbb28b
gynogenesis,http://aims.fao.org/aos/agrovoc/c_26859
genetic trends,http://aims.fao.org/aos/agrovoc/c_b502cb7e
greenhouse gases,http://aims.fao.org/aos/agrovoc/c_34841
geographical distribution,http://aims.fao.org/aos/agrovoc/c_5083
glycosides,http://aims.fao.org/aos/agrovoc/c_3309
gravity charts,http://aims.fao.org/aos/agrovoc/c_e61eae08
gonads,http://aims.fao.org/aos/agrovoc/c_34291
gender,http://aims.fao.org/aos/agrovoc/c_34835
evisceration,http://aims.fao.org/aos/agrovoc/c_2744
genetic polymorphism,http://aims.fao.org/aos/agrovoc/c_24031
geodetic coordinates,http://aims.fao.org/aos/agrovoc/c_c4360005
group velocity,http://aims.fao.org/aos/agrovoc/c_7cd43832
gonadosomatic index,http://aims.fao.org/aos/agrovoc/c_0a817fe8
pregnancy,http://aims.fao.org/aos/agrovoc/c_6166
genetic markers,http://aims.fao.org/aos/agrovoc/c_24030
guyots,http://aims.fao.org/aos/agrovoc/c_ce0ffa4a
lindane,http://aims.fao.org/aos/agrovoc/c_31402
organic wastes,http://aims.fao.org/aos/agrovoc/c_35237
gusts,http://aims.fao.org/aos/agrovoc/c_0cfcd054
bubble disease,http://aims.fao.org/aos/agrovoc/c_ee563f1e
germanium compounds,http://aims.fao.org/aos/agrovoc/c_ffae3e7f
ice ages,http://aims.fao.org/aos/agrovoc/c_c160c13d
gamma radiation,http://aims.fao.org/aos/agrovoc/c_3186
bile,http://aims.fao.org/aos/agrovoc/c_902
geological time,http://aims.fao.org/aos/agrovoc/c_bb9d6f0e
geological data,http://aims.fao.org/aos/agrovoc/c_5876b36f
geological history,http://aims.fao.org/aos/agrovoc/c_c581d6e3
growing ponds,http://aims.fao.org/aos/agrovoc/c_cd77939c
gyres,http://aims.fao.org/aos/agrovoc/c_1dee9fbf
genitalia,http://aims.fao.org/aos/agrovoc/c_27961
giant waves,http://aims.fao.org/aos/agrovoc/c_e8bc3243
glucans,http://aims.fao.org/aos/agrovoc/c_3285
slope,http://aims.fao.org/aos/agrovoc/c_fa256eab
adhesives,http://aims.fao.org/aos/agrovoc/c_128
growth factors,http://aims.fao.org/aos/agrovoc/c_36557
geological hazards,http://aims.fao.org/aos/agrovoc/c_6e79aa60
geological structures,http://aims.fao.org/aos/agrovoc/c_8fd09985
manuals,http://aims.fao.org/aos/agrovoc/c_f376fb22
greenhouse effect,http://aims.fao.org/aos/agrovoc/c_15585
glacial geology,http://aims.fao.org/aos/agrovoc/c_a2174681
genetic isolation,http://aims.fao.org/aos/agrovoc/c_acb2cb42
particle size,http://aims.fao.org/aos/agrovoc/c_5601
guidelines,http://aims.fao.org/aos/agrovoc/c_50228
gravity data,http://aims.fao.org/aos/agrovoc/c_ffe6cd58
geostrophic equilibrium,http://aims.fao.org/aos/agrovoc/c_dbd0ce5e
tectonophysics,http://aims.fao.org/aos/agrovoc/c_36395736
glacial lakes,http://aims.fao.org/aos/agrovoc/c_45c081d4
gels,http://aims.fao.org/aos/agrovoc/c_11114
graders,http://aims.fao.org/aos/agrovoc/c_25686
gas condensate fields,http://aims.fao.org/aos/agrovoc/c_7c0253c7
watersheds,http://aims.fao.org/aos/agrovoc/c_8334
geological maps,http://aims.fao.org/aos/agrovoc/c_d3de3bd2
gathering lines,http://aims.fao.org/aos/agrovoc/c_38f4dfba
geologists,http://aims.fao.org/aos/agrovoc/c_3231
carcinogens,http://aims.fao.org/aos/agrovoc/c_1313
glycerol,http://aims.fao.org/aos/agrovoc/c_3298
gas seepages,http://aims.fao.org/aos/agrovoc/c_ba369e4e
gametes,http://aims.fao.org/aos/agrovoc/c_3185
glochidia,http://aims.fao.org/aos/agrovoc/c_2b155517
geophysical surveys,http://aims.fao.org/aos/agrovoc/c_c4a9db67
guano,http://aims.fao.org/aos/agrovoc/c_3414
drying,http://aims.fao.org/aos/agrovoc/c_2402
urogenital system,http://aims.fao.org/aos/agrovoc/c_8107
genetic phenomena,http://aims.fao.org/aos/agrovoc/c_330734
guano birds,http://aims.fao.org/aos/agrovoc/c_d06414e9
geophysics,http://aims.fao.org/aos/agrovoc/c_3235
Gram-negative bacteria,http://aims.fao.org/aos/agrovoc/c_3352
geothermal gradient,http://aims.fao.org/aos/agrovoc/c_aac98c87
Global South,http://aims.fao.org/aos/agrovoc/c_fe5364f7
glycine (amino acid),http://aims.fao.org/aos/agrovoc/c_3299
gadoid fisheries,http://aims.fao.org/aos/agrovoc/c_62ac695b
gypsum,http://aims.fao.org/aos/agrovoc/c_3453
graphite,http://aims.fao.org/aos/agrovoc/c_faab8bc0
germanium isotopes,http://aims.fao.org/aos/agrovoc/c_8e318c75
dynamic height anomaly,http://aims.fao.org/aos/agrovoc/c_54fd7d54
groups,http://aims.fao.org/aos/agrovoc/c_50227
gear research,http://aims.fao.org/aos/agrovoc/c_82d465b7
genetic drift,http://aims.fao.org/aos/agrovoc/c_37333
grants,http://aims.fao.org/aos/agrovoc/c_11257
genetics,http://aims.fao.org/aos/agrovoc/c_3222
genes,http://aims.fao.org/aos/agrovoc/c_3214
glass fibres,http://aims.fao.org/aos/agrovoc/c_b11c26de
gold,http://aims.fao.org/aos/agrovoc/c_33067
gas exchange,http://aims.fao.org/aos/agrovoc/c_11098
genetically modified organisms,http://aims.fao.org/aos/agrovoc/c_34285
Golgi apparatus,http://aims.fao.org/aos/agrovoc/c_3327
gills,http://aims.fao.org/aos/agrovoc/c_3262
globulins,http://aims.fao.org/aos/agrovoc/c_3279
gradient currents,http://aims.fao.org/aos/agrovoc/c_8acca287
geochemistry,http://aims.fao.org/aos/agrovoc/c_24848
Pleistocene,http://aims.fao.org/aos/agrovoc/c_2d8abda1
gravel waves,http://aims.fao.org/aos/agrovoc/c_9bf9bd38
clams,http://aims.fao.org/aos/agrovoc/c_1650
percoid fisheries,http://aims.fao.org/aos/agrovoc/c_12b66f41
glycoproteins,http://aims.fao.org/aos/agrovoc/c_3307
gas emissions,http://aims.fao.org/aos/agrovoc/c_0d4560a5
genetic processes,http://aims.fao.org/aos/agrovoc/c_331001
gravity platforms,http://aims.fao.org/aos/agrovoc/c_2fc6e70d
goethite,http://aims.fao.org/aos/agrovoc/c_15842
gazetteers,http://aims.fao.org/aos/agrovoc/c_49853
Geiger counters,http://aims.fao.org/aos/agrovoc/c_e7bdfe4b
glassfibre reinforced plastics,http://aims.fao.org/aos/agrovoc/c_5863b3db
gadolinium isotopes,http://aims.fao.org/aos/agrovoc/c_5cec822b
geological equipment,http://aims.fao.org/aos/agrovoc/c_7dbadf94
geostrophic flow,http://aims.fao.org/aos/agrovoc/c_e9d66a6e
glossaries,http://aims.fao.org/aos/agrovoc/c_49851
gravity waves,http://aims.fao.org/aos/agrovoc/c_42e9ee37
growth rate,http://aims.fao.org/aos/agrovoc/c_16130
genetic structures,http://aims.fao.org/aos/agrovoc/c_331002
gas fields,http://aims.fao.org/aos/agrovoc/c_54de1af8
measurement,http://aims.fao.org/aos/agrovoc/c_4668
Gram-positive bacteria,http://aims.fao.org/aos/agrovoc/c_3353
grazing,http://aims.fao.org/aos/agrovoc/c_25243
grain orientation,http://aims.fao.org/aos/agrovoc/c_09881041
geographical coordinates,http://aims.fao.org/aos/agrovoc/c_64a2abf9
game theory,http://aims.fao.org/aos/agrovoc/c_28883
genotyping,http://aims.fao.org/aos/agrovoc/c_a29eab99
sedimentation,http://aims.fao.org/aos/agrovoc/c_6926
geomagnetism,http://aims.fao.org/aos/agrovoc/c_0a661123
glucosamine,http://aims.fao.org/aos/agrovoc/c_11179
gene flow,http://aims.fao.org/aos/agrovoc/c_37331
gene pools,http://aims.fao.org/aos/agrovoc/c_3212
faults,http://aims.fao.org/aos/agrovoc/c_a46b5b07
geophysical data,http://aims.fao.org/aos/agrovoc/c_a0bb2c9d
gill disease,http://aims.fao.org/aos/agrovoc/c_4518f47f
gillnets,http://aims.fao.org/aos/agrovoc/c_32431
geology,http://aims.fao.org/aos/agrovoc/c_3232
glycolipids,http://aims.fao.org/aos/agrovoc/c_32670
genetic disorders,http://aims.fao.org/aos/agrovoc/c_3217
oil-gas interface,http://aims.fao.org/aos/agrovoc/c_65192f06
groynes,http://aims.fao.org/aos/agrovoc/c_bc7023f8
provenance,http://aims.fao.org/aos/agrovoc/c_16022
geophysical equipment,http://aims.fao.org/aos/agrovoc/c_6ba5774f
necrosis,http://aims.fao.org/aos/agrovoc/c_15509
gas chromatography,http://aims.fao.org/aos/agrovoc/c_11097
groundings,http://aims.fao.org/aos/agrovoc/c_084edeb6
genetic variation,http://aims.fao.org/aos/agrovoc/c_15975
greenhouse gas emissions,http://aims.fao.org/aos/agrovoc/c_36198c2c
gadolinium,http://aims.fao.org/aos/agrovoc/c_26bdd38e
gravity anomalies,http://aims.fao.org/aos/agrovoc/c_05813567
grouper culture,http://aims.fao.org/aos/agrovoc/c_a98e37d0
biological grading,http://aims.fao.org/aos/agrovoc/c_d2cb9514
DNA fingerprinting,http://aims.fao.org/aos/agrovoc/c_34258
geographical information systems,http://aims.fao.org/aos/agrovoc/c_35131
geological processes,http://aims.fao.org/aos/agrovoc/c_49893
geological samples,http://aims.fao.org/aos/agrovoc/c_614c9759
geothermal measurement,http://aims.fao.org/aos/agrovoc/c_a6e464b7
groundwater recharge,http://aims.fao.org/aos/agrovoc/c_24035
geological institutions,http://aims.fao.org/aos/agrovoc/c_983d566f
global warming,http://aims.fao.org/aos/agrovoc/c_34836
density flow,http://aims.fao.org/aos/agrovoc/c_7aadf348
geothermal energy,http://aims.fao.org/aos/agrovoc/c_3238
geostrophic winds,http://aims.fao.org/aos/agrovoc/c_67fd2c8a
digestive system,http://aims.fao.org/aos/agrovoc/c_2275
seismometers,http://aims.fao.org/aos/agrovoc/c_ddcb7d5f
genetic diversity (as resource),http://aims.fao.org/aos/agrovoc/c_33952
squat lobster fisheries,http://aims.fao.org/aos/agrovoc/c_f4bac7ce
underwater gliders,http://aims.fao.org/aos/agrovoc/c_bb5642ab
