name,uri
helium isotopes,http://aims.fao.org/aos/agrovoc/c_0c1cb469
human physiology,http://aims.fao.org/aos/agrovoc/c_25188
hydrometers,http://aims.fao.org/aos/agrovoc/c_a72a1663
waste heat,http://aims.fao.org/aos/agrovoc/c_24100
herbicide resistance,http://aims.fao.org/aos/agrovoc/c_11530
heparin,http://aims.fao.org/aos/agrovoc/c_32480
human diseases,http://aims.fao.org/aos/agrovoc/c_29198
health services,http://aims.fao.org/aos/agrovoc/c_3513
haemorrhage,http://aims.fao.org/aos/agrovoc/c_11438
habitats,http://aims.fao.org/aos/agrovoc/c_3456
flatfish fisheries,http://aims.fao.org/aos/agrovoc/c_3815ab09
hydrographic surveys,http://aims.fao.org/aos/agrovoc/c_7417937d
Holocene,http://aims.fao.org/aos/agrovoc/c_6fcb9503
pituitary gland,http://aims.fao.org/aos/agrovoc/c_5939
hydrometeors,http://aims.fao.org/aos/agrovoc/c_2ba808c8
haze,http://aims.fao.org/aos/agrovoc/c_d475f249
haemagglutinins,http://aims.fao.org/aos/agrovoc/c_35138
hatching,http://aims.fao.org/aos/agrovoc/c_3504
holotypes,http://aims.fao.org/aos/agrovoc/c_d693fe21
harbour regulations,http://aims.fao.org/aos/agrovoc/c_778dd097
hydrofoils,http://aims.fao.org/aos/agrovoc/c_1f8e62e7
hygrometers,http://aims.fao.org/aos/agrovoc/c_3740
halocline,http://aims.fao.org/aos/agrovoc/c_a62d336e
histidine,http://aims.fao.org/aos/agrovoc/c_3630
heavy metals,http://aims.fao.org/aos/agrovoc/c_2223
hypoxia,http://aims.fao.org/aos/agrovoc/c_4717e235
astronomical tides,http://aims.fao.org/aos/agrovoc/c_f5889887
heat transfer,http://aims.fao.org/aos/agrovoc/c_3521
glycosides,http://aims.fao.org/aos/agrovoc/c_3309
rubber,http://aims.fao.org/aos/agrovoc/c_6678
haemolymph,http://aims.fao.org/aos/agrovoc/c_16558
histopathology,http://aims.fao.org/aos/agrovoc/c_34016
habitat improvement,http://aims.fao.org/aos/agrovoc/c_3455
helium,http://aims.fao.org/aos/agrovoc/c_2671b66c
heart,http://aims.fao.org/aos/agrovoc/c_3516
health economics,http://aims.fao.org/aos/agrovoc/c_4be91522
carangid fisheries,http://aims.fao.org/aos/agrovoc/c_b5d494e3
hosts,http://aims.fao.org/aos/agrovoc/c_3673
herbicides,http://aims.fao.org/aos/agrovoc/c_3566
haline circulation,http://aims.fao.org/aos/agrovoc/c_8d51e142
human health,http://aims.fao.org/aos/agrovoc/c_c722a312
Kelvin-Helmholtz instability,http://aims.fao.org/aos/agrovoc/c_39500aab
biological half life,http://aims.fao.org/aos/agrovoc/c_6e34fffa
blood disorders,http://aims.fao.org/aos/agrovoc/c_964
hafnium,http://aims.fao.org/aos/agrovoc/c_75e33f6d
handicrafts,http://aims.fao.org/aos/agrovoc/c_3483
hunger (physiology),http://aims.fao.org/aos/agrovoc/c_367c7bbb
hygiene,http://aims.fao.org/aos/agrovoc/c_3739
geological history,http://aims.fao.org/aos/agrovoc/c_c581d6e3
holography,http://aims.fao.org/aos/agrovoc/c_30d61cbf
high tide,http://aims.fao.org/aos/agrovoc/c_b640f93b
