name,uri
drainage systems,http://aims.fao.org/aos/agrovoc/c_25331
joint ventures,http://aims.fao.org/aos/agrovoc/c_34301
jets,http://aims.fao.org/aos/agrovoc/c_bcb99b76
Jurassic,http://aims.fao.org/aos/agrovoc/c_1432c39d
jurisdiction,http://aims.fao.org/aos/agrovoc/c_fe661c97
jigging,http://aims.fao.org/aos/agrovoc/c_54f2844e
juveniles,http://aims.fao.org/aos/agrovoc/c_25393
jellyfish blooms,http://aims.fao.org/aos/agrovoc/c_b8aa9140
carangid fisheries,http://aims.fao.org/aos/agrovoc/c_b5d494e3
piled platforms,http://aims.fao.org/aos/agrovoc/c_1b2cf77f
joints (timber),http://aims.fao.org/aos/agrovoc/c_26795
evaluation,http://aims.fao.org/aos/agrovoc/c_2736
