name,uri
kaolin,http://aims.fao.org/aos/agrovoc/c_76bf83ef
knowledge sharing,http://aims.fao.org/aos/agrovoc/c_539fa2f6
glacial lakes,http://aims.fao.org/aos/agrovoc/c_45c081d4
krill fisheries,http://aims.fao.org/aos/agrovoc/c_86e7d416
slaughtering,http://aims.fao.org/aos/agrovoc/c_7107
eddy viscosity,http://aims.fao.org/aos/agrovoc/c_1646dbc1
kinematics,http://aims.fao.org/aos/agrovoc/c_35219
kelt,http://aims.fao.org/aos/agrovoc/c_15446350
krill,http://aims.fao.org/aos/agrovoc/c_4118
krypton isotopes,http://aims.fao.org/aos/agrovoc/c_710c9bf5
parturition,http://aims.fao.org/aos/agrovoc/c_5604
kaolinite,http://aims.fao.org/aos/agrovoc/c_16135
karst,http://aims.fao.org/aos/agrovoc/c_33509
krypton,http://aims.fao.org/aos/agrovoc/c_f65f8e99
crab fisheries,http://aims.fao.org/aos/agrovoc/c_5b664798
fluid mechanics,http://aims.fao.org/aos/agrovoc/c_25344
cays,http://aims.fao.org/aos/agrovoc/c_1a6f1e69
karst hydrology,http://aims.fao.org/aos/agrovoc/c_4e4abfce
ketones,http://aims.fao.org/aos/agrovoc/c_4093
kinesis,http://aims.fao.org/aos/agrovoc/c_4101
kinetics,http://aims.fao.org/aos/agrovoc/c_6ede19b4
Kelvin waves,http://aims.fao.org/aos/agrovoc/c_b2b980d9
chemical kinetics,http://aims.fao.org/aos/agrovoc/c_db2ad5ed
karyotypes,http://aims.fao.org/aos/agrovoc/c_32486
Kortweg deVries equation,http://aims.fao.org/aos/agrovoc/c_0baf0a01
kelp,http://aims.fao.org/aos/agrovoc/c_11954
kidneys,http://aims.fao.org/aos/agrovoc/c_4099
Kelvin-Helmholtz instability,http://aims.fao.org/aos/agrovoc/c_39500aab
seaknolls,http://aims.fao.org/aos/agrovoc/c_10fdfbed
kinetic energy,http://aims.fao.org/aos/agrovoc/c_81097060
karyology,http://aims.fao.org/aos/agrovoc/c_01eedfe5
potassium,http://aims.fao.org/aos/agrovoc/c_6139
tuna fisheries,http://aims.fao.org/aos/agrovoc/c_40059f89
knowledge,http://aims.fao.org/aos/agrovoc/c_105df063
keeping quality,http://aims.fao.org/aos/agrovoc/c_4082
krill products,http://aims.fao.org/aos/agrovoc/c_6e6e3d7a
