name,uri
lake dynamics,http://aims.fao.org/aos/agrovoc/c_e1c66bc3
light fishing,http://aims.fao.org/aos/agrovoc/c_4323
landing statistics,http://aims.fao.org/aos/agrovoc/c_55ecd720
lateral line,http://aims.fao.org/aos/agrovoc/c_9024821c
nearshore currents,http://aims.fao.org/aos/agrovoc/c_72f45664
Lagrangian current measurement,http://aims.fao.org/aos/agrovoc/c_414e5c6c
lagoon fisheries,http://aims.fao.org/aos/agrovoc/c_4157
lectins,http://aims.fao.org/aos/agrovoc/c_24042
terrestrial radiation,http://aims.fao.org/aos/agrovoc/c_fb534308
longshore bars,http://aims.fao.org/aos/agrovoc/c_93e06ae2
photophores,http://aims.fao.org/aos/agrovoc/c_e74ff4f2
low-velocity layer,http://aims.fao.org/aos/agrovoc/c_8e356c1e
lake ice,http://aims.fao.org/aos/agrovoc/c_31614523
lead,http://aims.fao.org/aos/agrovoc/c_4235
light diffraction,http://aims.fao.org/aos/agrovoc/c_1fd4346c
gravity corrections,http://aims.fao.org/aos/agrovoc/c_34fc8840
lysine,http://aims.fao.org/aos/agrovoc/c_4487
light,http://aims.fao.org/aos/agrovoc/c_4322
lectures,http://aims.fao.org/aos/agrovoc/c_f11ab005
levels,http://aims.fao.org/aos/agrovoc/c_976a1ab6
petrology,http://aims.fao.org/aos/agrovoc/c_5748
reclamation,http://aims.fao.org/aos/agrovoc/c_6474
lanthanium isotopes,http://aims.fao.org/aos/agrovoc/c_565f3e34
limbs,http://aims.fao.org/aos/agrovoc/c_4338
prolactin,http://aims.fao.org/aos/agrovoc/c_6221
land ice,http://aims.fao.org/aos/agrovoc/c_c55854a5
lithification,http://aims.fao.org/aos/agrovoc/c_9a6b1ebf
astronomical tides,http://aims.fao.org/aos/agrovoc/c_f5889887
attracting techniques,http://aims.fao.org/aos/agrovoc/c_85af5821
liability,http://aims.fao.org/aos/agrovoc/c_330977
lake basins,http://aims.fao.org/aos/agrovoc/c_119bb769
lighting,http://aims.fao.org/aos/agrovoc/c_4326
leads,http://aims.fao.org/aos/agrovoc/c_7e2a6237
latitudinal variations,http://aims.fao.org/aos/agrovoc/c_005d3ade
embankments,http://aims.fao.org/aos/agrovoc/c_32438
LIDAR,http://aims.fao.org/aos/agrovoc/c_c3ea7f1d
life-saving equipment,http://aims.fao.org/aos/agrovoc/c_ced5eaa8
limestone,http://aims.fao.org/aos/agrovoc/c_4342
lindane,http://aims.fao.org/aos/agrovoc/c_31402
linear programming,http://aims.fao.org/aos/agrovoc/c_28903
literature reviews,http://aims.fao.org/aos/agrovoc/c_05ceb781
