name,uri
oyster reefs,http://aims.fao.org/aos/agrovoc/c_64225f16
oceanographic atlases,http://aims.fao.org/aos/agrovoc/c_c0139a64
underutilized species,http://aims.fao.org/aos/agrovoc/c_b0386504
oscillatory waves,http://aims.fao.org/aos/agrovoc/c_a7fb674a
overcrowding,http://aims.fao.org/aos/agrovoc/c_21c55b9e
nearshore currents,http://aims.fao.org/aos/agrovoc/c_72f45664
CTD observations,http://aims.fao.org/aos/agrovoc/c_329a104a
offshore docking,http://aims.fao.org/aos/agrovoc/c_2eaa10e9
oases,http://aims.fao.org/aos/agrovoc/c_5286
gas oil separation,http://aims.fao.org/aos/agrovoc/c_8d5db93a
tanker ships,http://aims.fao.org/aos/agrovoc/c_7603
ornithologists,http://aims.fao.org/aos/agrovoc/c_5f77845d
ocean policies,http://aims.fao.org/aos/agrovoc/c_e1131d27
oil and gas legislation,http://aims.fao.org/aos/agrovoc/c_cc6b3be4
marine debris,http://aims.fao.org/aos/agrovoc/c_e00d50ff
organic carbon,http://aims.fao.org/aos/agrovoc/c_2f82b0a2
oceanic boundary layer,http://aims.fao.org/aos/agrovoc/c_f2f1ea46
ocean bottom seismometers,http://aims.fao.org/aos/agrovoc/c_b5898b19
occupations,http://aims.fao.org/aos/agrovoc/c_5294
surface films,http://aims.fao.org/aos/agrovoc/c_f6ac3938
oestrogens,http://aims.fao.org/aos/agrovoc/c_5321
blowouts,http://aims.fao.org/aos/agrovoc/c_c0dedc80
surgical operations,http://aims.fao.org/aos/agrovoc/c_7533
organic sediments,http://aims.fao.org/aos/agrovoc/c_301a69db
osmosis,http://aims.fao.org/aos/agrovoc/c_5442
oligopeptides,http://aims.fao.org/aos/agrovoc/c_35977
hypoxia,http://aims.fao.org/aos/agrovoc/c_4717e235
submarine plateaus,http://aims.fao.org/aos/agrovoc/c_ac893a9d
oceanic islands,http://aims.fao.org/aos/agrovoc/c_d24a2bf1
midwater trawls,http://aims.fao.org/aos/agrovoc/c_118dc362
oxygen minimum layer,http://aims.fao.org/aos/agrovoc/c_ffd407e3
olfactory organs,http://aims.fao.org/aos/agrovoc/c_5344
oceanographic data,http://aims.fao.org/aos/agrovoc/c_91232770
overfishing,http://aims.fao.org/aos/agrovoc/c_34068
overwintering,http://aims.fao.org/aos/agrovoc/c_5460
chemical stimuli,http://aims.fao.org/aos/agrovoc/c_a7f90223
organic wastes,http://aims.fao.org/aos/agrovoc/c_35237
oxygen isotopes,http://aims.fao.org/aos/agrovoc/c_06b489b0
oil spills,http://aims.fao.org/aos/agrovoc/c_5332
organoleptic properties,http://aims.fao.org/aos/agrovoc/c_5399
osteology,http://aims.fao.org/aos/agrovoc/c_20b7f80f
ocean surface topography,http://aims.fao.org/aos/agrovoc/c_5fb548dc
outlier analysis,http://aims.fao.org/aos/agrovoc/c_f1fbdaaa
oxygen maximum layer,http://aims.fao.org/aos/agrovoc/c_467bb9a5
offshore terminals,http://aims.fao.org/aos/agrovoc/c_eb4a2d1c
ocean thermal energy conversion,http://aims.fao.org/aos/agrovoc/c_7ee45279
oxygen isotope stratigraphy,http://aims.fao.org/aos/agrovoc/c_5265ad97
abalone culture,http://aims.fao.org/aos/agrovoc/c_fc92961e
orbital velocity,http://aims.fao.org/aos/agrovoc/c_aba8e407
organic acids,http://aims.fao.org/aos/agrovoc/c_5383
organogenesis,http://aims.fao.org/aos/agrovoc/c_27791
oesophagus,http://aims.fao.org/aos/agrovoc/c_5319
surface water waves,http://aims.fao.org/aos/agrovoc/c_81b63176
ocean basins,http://aims.fao.org/aos/agrovoc/c_f6b144da
sea breezes,http://aims.fao.org/aos/agrovoc/c_8de6b301
ocean dumping,http://aims.fao.org/aos/agrovoc/c_bbe188a8
oogenesis,http://aims.fao.org/aos/agrovoc/c_5360
oceanographic tables,http://aims.fao.org/aos/agrovoc/c_a1e0ba7a
overexploitation,http://aims.fao.org/aos/agrovoc/c_5b3b2c5e
sexual behaviour,http://aims.fao.org/aos/agrovoc/c_7015
otter boards,http://aims.fao.org/aos/agrovoc/c_4a6d0936
ocean space,http://aims.fao.org/aos/agrovoc/c_49ed02f6
oceanic crust,http://aims.fao.org/aos/agrovoc/c_a8458a14
lakes,http://aims.fao.org/aos/agrovoc/c_4160
organic structures,http://aims.fao.org/aos/agrovoc/c_330908
optical classification,http://aims.fao.org/aos/agrovoc/c_d2549178
oxbow lakes,http://aims.fao.org/aos/agrovoc/c_d1099394
offshore aquaculture,http://aims.fao.org/aos/agrovoc/c_585e556d
carcinogens,http://aims.fao.org/aos/agrovoc/c_1313
oxygen consumption,http://aims.fao.org/aos/agrovoc/c_5478
oceanic microstructure,http://aims.fao.org/aos/agrovoc/c_33963bc3
ice-oil interface,http://aims.fao.org/aos/agrovoc/c_ea66095f
organochlorine compounds,http://aims.fao.org/aos/agrovoc/c_5395
ornithine,http://aims.fao.org/aos/agrovoc/c_5421
ocean floor,http://aims.fao.org/aos/agrovoc/c_5a2c4eda
oceanography,http://aims.fao.org/aos/agrovoc/c_12889
light microscopy,http://aims.fao.org/aos/agrovoc/c_01f95724
organizations,http://aims.fao.org/aos/agrovoc/c_37968
redox potential,http://aims.fao.org/aos/agrovoc/c_6482
Oceans,http://aims.fao.org/aos/agrovoc/c_12890
oxygen,http://aims.fao.org/aos/agrovoc/c_5477
osmotic adaptation,http://aims.fao.org/aos/agrovoc/c_ba0a6d5d
osmium isotopes,http://aims.fao.org/aos/agrovoc/c_0b321477
ozonization,http://aims.fao.org/aos/agrovoc/c_34874
oil production,http://aims.fao.org/aos/agrovoc/c_91c9713a
bottom trawls,http://aims.fao.org/aos/agrovoc/c_c24c228b
ocean acidification,http://aims.fao.org/aos/agrovoc/c_51289d95
organic nitrogen,http://aims.fao.org/aos/agrovoc/c_13c21a25
otoliths,http://aims.fao.org/aos/agrovoc/c_c7c4f17c
overpopulation,http://aims.fao.org/aos/agrovoc/c_15510
offshore equipment,http://aims.fao.org/aos/agrovoc/c_91f2c11b
ocean colour,http://aims.fao.org/aos/agrovoc/c_6a71c35b
biological development,http://aims.fao.org/aos/agrovoc/c_921
hydrographic charts,http://aims.fao.org/aos/agrovoc/c_d0c9c33a
tanker terminals,http://aims.fao.org/aos/agrovoc/c_08da821f
organic phosphorus,http://aims.fao.org/aos/agrovoc/c_4911ce06
operations research,http://aims.fao.org/aos/agrovoc/c_5364
oxygen requirement,http://aims.fao.org/aos/agrovoc/c_26804
organic matter,http://aims.fao.org/aos/agrovoc/c_5387
ornamental plants,http://aims.fao.org/aos/agrovoc/c_5417
ocean-ice-atmosphere system,http://aims.fao.org/aos/agrovoc/c_522d95d3
marine sciences,http://aims.fao.org/aos/agrovoc/c_4613
omnivores,http://aims.fao.org/aos/agrovoc/c_5348
oocysts,http://aims.fao.org/aos/agrovoc/c_4e9e2bc4
costs,http://aims.fao.org/aos/agrovoc/c_1922
sewage ponds,http://aims.fao.org/aos/agrovoc/c_676e9568
ocean-atmosphere system,http://aims.fao.org/aos/agrovoc/c_3e42eec7
submarine ridges,http://aims.fao.org/aos/agrovoc/c_940f07cc
organism aggregations,http://aims.fao.org/aos/agrovoc/c_7187852e
oscillatory flow,http://aims.fao.org/aos/agrovoc/c_10c3ddeb
oil pollution,http://aims.fao.org/aos/agrovoc/c_d11624c5
oil wastes,http://aims.fao.org/aos/agrovoc/c_ee1e34b3
oocytes,http://aims.fao.org/aos/agrovoc/c_55c1fd21
ornamental fishes,http://aims.fao.org/aos/agrovoc/c_5413
oxidative stress,http://aims.fao.org/aos/agrovoc/c_37481
glucosamine,http://aims.fao.org/aos/agrovoc/c_11179
oceanographers,http://aims.fao.org/aos/agrovoc/c_5299
oil tanks,http://aims.fao.org/aos/agrovoc/c_21d469d9
oligotrophic lakes,http://aims.fao.org/aos/agrovoc/c_8d3b72a3
osteonecrosis,http://aims.fao.org/aos/agrovoc/c_1c3ba222
organic fertilizers,http://aims.fao.org/aos/agrovoc/c_4592
Ordovician,http://aims.fao.org/aos/agrovoc/c_1535814e
oceanographic stations,http://aims.fao.org/aos/agrovoc/c_0f71fbf0
bottom topography,http://aims.fao.org/aos/agrovoc/c_4e2914b1
oceanographic institutions,http://aims.fao.org/aos/agrovoc/c_da4502d0
oil-gas interface,http://aims.fao.org/aos/agrovoc/c_65192f06
