name,uri
quality,http://aims.fao.org/aos/agrovoc/c_6400
mires,http://aims.fao.org/aos/agrovoc/c_c46933b9
quarantine regulations,http://aims.fao.org/aos/agrovoc/c_1b59d108
quartz,http://aims.fao.org/aos/agrovoc/c_36852
quasi-geostrophic motion,http://aims.fao.org/aos/agrovoc/c_71346cf1
planetary waves,http://aims.fao.org/aos/agrovoc/c_2e83f94a
quanta meters,http://aims.fao.org/aos/agrovoc/c_a6260299
Quaternary,http://aims.fao.org/aos/agrovoc/c_35146656
quality control,http://aims.fao.org/aos/agrovoc/c_6401
clam fisheries,http://aims.fao.org/aos/agrovoc/c_78971284
quantitative analysis,http://aims.fao.org/aos/agrovoc/c_32660
quota regulations,http://aims.fao.org/aos/agrovoc/c_644dabeb
quinolines,http://aims.fao.org/aos/agrovoc/c_6411
quality assurance,http://aims.fao.org/aos/agrovoc/c_35287
